audio_path,transcription,speaker_id,session_id,orig_start,orig_end,style,utt_id,style_bin,split,split_mixed_to_constrained_aux,split_mixed_to_constrained_aux_note,split_reverse_aux
data/audio/002163.wav,mì túógbo vobo̩ osòrùn,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002164.wav,ó̩nò̩se me̩ zevi agbò̩n,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002165.wav,mì túógbo̩ vobo̩ erha mè̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002166.wav,ó̩nò̩ rhé̩ mè̩ ivi àkàyàn,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002167.wav,ákáyán rin màá gòro e̩rù emirin nò̩sè,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002168.wav,ákáyàn rin mìé̩nya o̩mo̩ obò̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002169.wav,ákáyán ní maà gbeèmi,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002170.wav,ìmá rhùrhurhu,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002171.wav,mì vávi ékpè̩dó ze,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002172.wav,since 84,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002173.wav,mì sé̩ni údégbé kàdúná,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002174.wav,màá gbàkayan,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002175.wav,ò̩bùn kpòvá ìní tailor,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002176.wav,ìmá rhùrhurhu mì chúó sologbo ò̩té̩ me̩vu ke,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002177.wav,although me dá mo̩ okhuoro kè̩mé̩ vi ékpè̩dó mí kue á za,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002178.wav,íkhònimi zé̩va ìní mí dúókhúoro kè̩mé̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002179.wav,àá gba yìnri,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002180.wav,àá gbá gbàkayan,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002181.wav,àá gba ru ímò̩ jinarè,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002182.wav,ósóhùrùn ò̩ó̩ goró kpàma vobò̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002183.wav,ínrhan,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002184.wav,ínna íkhúóní óhó̩rín ó̩dò̩ó̩ da ó̩ò̩ záví kàdúná,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002185.wav,ò̩ gbáǹze,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002186.wav,like sharia,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002187.wav,mì túógbo ò̩ má dù mé̩za,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002188.wav,ó̩ ke̩ matase̩nì,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002189.wav,ò̩ má dù mé̩za,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002190.wav,èhèrénà happen ví á ìní,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002191.wav,ò má dù mé̩ za,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002192.wav,mì túógbo ye̩hi,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002193.wav,mì gbákayan,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002194.wav,mì vává aìní ze mì vá zowà,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002195.wav,mì vá zowà,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002196.wav,màá gùoro í gbàkayan,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002197.wav,ímò̩ó̩o̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002198.wav,ínrhan ímèrí vaze rhàn,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002199.wav,émè rò̩kpá rhàn ò̩ró̩ kemè̩ zéní mí má chàe̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002200.wav,ímò̩ kémè̩ ze ò̩ró̩ ini ówé̩nà tò mé̩na,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002201.wav,mì vá ze íkpó gbérì,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002202.wav,èèvá,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002203.wav,òwè̩ ò̩ó̩to mè̩mè̩ è̩rórí émí níí sírhán no̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002204.wav,kpogberì ìsinrinhàn nà,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002205.wav,mì túógbó ye̩ ìmá húdò so̩rì,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002206.wav,màá gòro je̩ àhinhe̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002207.wav,me gúòro tuogbo ye̩ me gúoro dè za,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002208.wav,évbóri ósòsò,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002209.wav,nò̩ irin èégùòro fè̩re̩ mè̩ye̩ í,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002210.wav,sammy mú wari hían je̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002211.wav,mú wàrí rèmiremi osòhùnrùn ro̩ò̩bé̩ mè̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002212.wav,ósòrùn rò̩rò̩be̩ mè̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002213.wav,màá gòró be̩ ókhuoro kè̩mé̩ éka nìmì àmo̩rin,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002214.wav,ì má rhùrhurhu,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002215.wav,ésò ívo̩ nò̩ irin,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002216.wav,mì à gbákàyàn,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002217.wav,ì má mìkpiho kò̩re vobò̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002218.wav,ányò,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002219.wav,ò̩ má kamí mò̩rìn ìkpího ví obò̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002220.wav,àrhí khùo òkhúóró ìrin hian,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002221.wav,ò̩ má káné̩ mò̩rìn ìkpíhó ví obò̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002222.wav,but mè̩mè̩ má rù ènini,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002223.wav,ò̩ó̩ mà ini òdòbòró,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002224.wav,ò̩ró̩ mádó bimi mò̩rìn àkhùòkhùò gueri,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002225.wav,mì gúòrò tuogbo ínrhan,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002226.wav,mì dá mo̩rin àkhùòkhùò gueri,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002227.wav,ó̩nó̩se ni ò̩ó̩ da dòso me̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002228.wav,ímè̩ri ókhúóró kè̩mé̩ èri ó̩mò̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002229.wav,óhkúóró kè̩mé màá gùoró dobo mè̩,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
data/audio/002230.wav,ò̩ má lo̩za áà nikhuo ni,SAM,une011,,,natural,,naturalistic,train,train,speaker-overlap auxiliary split; constrained speakers appear across splits,train
